Date,Text
2025-07-11 22:10:49+00:00,"Чтож, итоги на 6 неделе на новой работе
На прошлой был созвон с менеджером и тимлидом по испыталке. Обратка хорошая, просто нужно держать темп и продолжать в том же духе. Моя личная статистика это 12 закрытых задач с начала онбординга. Две еще в работе.
Кстати, вывод, который сделал на днях, это то, что мне везет на тимлидов, этот раз не исключение. Из того что произвело на меня лично впечатление, на этой неделе тимлид написал crm для соседнего проекта за 4 дня, это было конечно мощно. Дальше дело за девопсами это раскатать на прод.
Мак на м4 лагает при звонках google meet + PyCharm. Хз, что с ним надо делать чтобы он летал, но пока на базовых задачах даже не уровень i7. Вкратце, хочу себе мак, но не хочу на Arm.
Понял, что работать с проектами на Джанго мне проще, чем делать тестовые и петы с ним. Очень много возни с конфигами и бойлерплейт кода. Разворачивать fastapi приложения попроще будет. Джанговские настройки выглядят убого по сравнению с тем же pydantic settings. В готовом проекте этот этап пропускается и можно просто расширять функциональность, так что мне это больше по душе.
Программа, которую открыл для себя - Insomnia, это как Postman, только выглядит легче. На убунте последнее обновление, кстати, зависало намертво, почему и перестал им пользоваться.
Заметил, что опять подзабиваю на контент в блоге и на ютубе. Рассказать есть много чего, но выбор уходит в пользу отдыха и времени для себя. Читать книги намного быстрее, если не делать контент о том, как читаешь книги и какие мысли выносишь. Но можете писать обратку в комментах, о чем нужно написать и это выведет меня из спячки"
2025-06-29 09:59:27+00:00,"Хотел поделиться статьей от Антропик, которая вышла пару дней назад. И суть там в том, что модели дали задачу управлять вендинговым автоматом, с чем она не справилась.
Для меня в этом нет ничего удивительного, несмотря на всякие аргументы в чатах, типа "" <подставьте модель> показывает высокий уровень ризонинга, а значит принимает решение лучше человека"".
Это не говорит о том, что они реально умеют принимать решения, это говорит о том, что они могут имитировать это.
Не посчитайте меня лудитом, но ИИшки в том виде в котором они есть, это отличный инструмент в сравнении с их отсутствием. Но я достаточно старый, чтобы наивно верить в очередную технологическую революцию, потому что как минимум три из них не сделали мир идеальным местом. И причина одна, люди, которые делают мир таким каким он является.
Первое, это наличие микрокомпьютеров у каждого в кармане. Ученые прошлых десятилетий могли только мечтать о таком и говорили о том, что это даст скачок развития технологий, если у каждого будет доступ к этому. Результат - карманный компьютер нужен для того чтобы смотреть тиктоки. Я конечно иронизирую, но мало кто занимается наукой на телефоне, давайте признаем это.
Второй пример более потрясающий и я с восхищением наблюдал за его развитием. Это было клонирование. Я читал все новости до которым мог тогда добраться. Технология клонирования могла бы дать бесконечные органы для трансплантации и продлять жизни, как минимум и как максимум открыть возможности колонизации других миров (про колонизацию Марса, третью в моем списке технологию я промолчу). Был определенный прогресс, но вмешались регуляторы, и это было не ЕС как в вопросе с Apple AI или ядерной энергетикой. Это была католическая церковь, которая сказала, что вопрос души у клонов остается не решенным, поэтому исследования были прекращены.
Мир меняется, но если выехать из мегаполиса, то станет заметно, что в некоторых местах новые технологии изменили процессы, но не изменили суть. Не буду называть ничего конкретного, но кто понял, тот понял. В общем, жизнь в мегаполисе создает иллюзию, что мир движется вперед, но это скорее особенность локации, чем глобального развития мира.
Возвращаясь к изначальной мысли, я обожаю sci-fi и хотел бы верить в AGI и прочие технологические новости, но не стоит забывать что мы все еще живем в мире людей, где каждый может разыгрывать свой ""Канзас-Сити шаффл"".
И да, держите
ссылочку на статью
про Claude и вендинговый автомат"
2025-06-27 13:12:50+00:00,"Про Gemini, Claude, Copilot и PyCharm
Попробовал корпоративный Gemini в качестве копилота. На пайчарм плагин встал и логин ок, на вскод нет - выдает ошибку и пишет что нет прав, хотя авторизация через браузер прошла.
Первой задачкой предложил ему найти ошибку в .vue шаблоне. Как итог три попытки подряд, возвращал ответ в формате xml. Среди скудных трех настроек я не нашел что изменить. В общем, в комплекте с неработающим автокомплитом и отсутствием агентского режима, это была последняя попытка с ним.
Плюс то что я пытался получить у него ответ через веб версию, тоже не внушает оптимизма, не умеет в чтение документации и спорит что так нельзя (хотя в документации написано можно). На примере drf, получилось что покурить документацию и сделать как планировал быстрее, чем спорить с ИИ. Мой вывод, для кода Gemini не робит.
Еще одно интересное наблюдение, что свежие модели, такие как Claude 4 в плагин Copilot для vscode завозят быстрее. Я заметил это три дня назад, для пайчарма обновлений или модели я не увидел. Только 3.5 и 3.7 как и было. И субъективно, в вскод копилот работает шустрее, чем в пайчарме."
2025-06-24 21:40:31+00:00,"День 14 на новой работе
Первая обычная таска с которой я работаю, затянулась. МР показывает, что был создан 5 дней назад, давненько. Выдача доступов, уточнение деталей, время на разобраться, в общем типичная работа работа. Но все равно как то ожидаю от себя большего.
За время работы над задачей познакомился с clickhouse и protobuf, и обвязками для этого на питоне. И отрефакторил часть кода с конфигурацией, как по мне это стало развиваться не туда (сказал чел, который только вторую неделю на проекте). Еще подумал о том, что после пайдантика все эти сериализаторы в джанге выглядят громоздкими, и захотелось затащить его в проект, но делать я это конечно же не буду.
Хвалил пайчарм в прошлых постах, что его можно запустить и на ведре, как он стал у меня подвисать с определенной  регулярностью. Теперь вопрос это в маке дело или в новой версии 25.1.2, непонятно. Повышение памяти до 4гб и до 8гб не решили проблему. У меня, кстати, к пайчарму еще одна претензия, при поиске он перестал искать везде. Не мог найти где в конфиге прописан url для переменной окружения. В итоге, через поиск vscode я нашел эту строку в pytest конфиге. Умный поиск пайчарма - нет. Таки дела.
Пока искал ответ по задаче, случайно повайбкодил, перепутав в Gemini режимы. Ткнув на режим Canvas иишка создала мне приложение вместо ответа на запрос. Забавно, что мы живем во времена, когда можно создать приложение по ошибке.
На работе часть бека написана на го, было бы прикольно посмотреть чо как там работает, но вспоминаю, что у меня с прошлого года курс по рефакторингу не пройденный лежит, и в списке 10+ книг по беку и апи к прочтению, пока не знаю как распланировать на все время"
2025-06-20 22:32:13+00:00,"Как я подхожу к выбору техники и почему
У всех разные потребности и разные уровни комфорта, но один год определил мои приоритеты.
Раньше я кастомизировал комп, сейчас я пользуюсь дефолтными настройками в основном, даже обои не меняю. Основная цель, после смены устройства пользоваться так же как и прошлым, без танцев с бубном.
Еще я не вижу особой разницы между макбуком на i7 и м4, хотя официально заявлена разница в производительности х23. Для терминала и редактора много не требуется, плюс браузер и мессенджер. У меня не запущено много вкладок, я их не держу, внимание только на том что я делаю, все остальные приложения закрыты, чтобы не отвлекаться.
Но минимализм повлияли два события, которые произошли с разницей в два месяца.
Однажды был обычный день, в 11 я побывал на дейлике, пока за окном была слышна сирена, проезжающей пожарной машины. Со временем количество сирен увеличивалось и из окна я уже видел авиацию, которая тушит лесной пожар вдалеке. За несколько часов из «где-то за городом лесной пожар» до «необходимо эвакуироваться» прошло несколько часов. Несколько самолетов забирали воду из местного пролива, судоходство в регионе остановилось. А я из окна наблюдал как трактора делают рвы перед домом, а пожарные баррикаду. Теперь я знаю, что 700 метров, это расстояние, с которого видно стену огня лесного пожара. А дышать становится опасно из-за дыма. Это значит что надо было уходить еще полчаса назад.
В тот момент, мы взяли только самое необходимое и эвакуировались. Мысленно я попрощался со все что там сталось и смирился, что этого больше нет. На утро фото ЖК в котором мы жили был в местных новостях, пожарным удалось увести огонь в сторону. Оставалось 350 метров, но обошлось.
Два месяца потом я смотрел на горелые деревья и остатки частного дома вдалеке. Потом случилось землетрясение в другой части страны. 20000 погибших. Начитавшись в интернете, что тектоническая плита проходит рядом с нашим городом, и были прогнозы, что толчки могут повториться у нас. Я был готов в любой момент бросить все и эвакуироваться. После я узнал, что предсказаний по землетрясениям не существует, но в тот момент было не так очевидно. В общем это был совсем не веселый месяц.
С тех пор, я выбираю легкую технику, чтобы легко было перевозить. В жизни бывает разное и я держу мысль что мое оборудование проиграет в выборе кого спасать, себя или железо. И после, чтобы вернуться к работе я должен буду купить новое на замену. И это относится не только к таким экстремальным ситуациям, есть и другие негативные сценарии. Поэтому, да, моя техника мне  нравится, но я не питаю иллюзий и не привязываюсь к ней. Основное требование закрытия необходимых потребностей, ничего лишнего. Отсюда вытекает финансовый аспект, нет смысла переплачивать, если это расходный инструмент.
С финансами у меня есть тоже пара ситуаций, которые определили мой взгляд на это, но думаю пока хватит на сегодня историй
😅"
2025-06-18 17:08:35+00:00,"Должен признаться, я не знаю Django
Сегодня на работе у меня была задача написать новую ручку, и я абсолютно не помнил как это делается. Но это и неважно, и ниже я объясню почему
Знаю несколько людей, которые изучают Джанго больше года и тренируются, перед поиском работы. Но у меня было по-другому, я изучал Джанго меньше месяца, и активнее всего я это было когда я делал тестовое. Опыта по фласку и фастапи у меня в тот момент было кратно больше. Я выполнил задание успешно, получил похвалу и офер. И суть тут в том, что разработка это не про фреймворки и написание кода, это про решение проблем (problem solving).
Так вот с тех пор прошел ни один год и я Джанго не касался, а последние 4 месяца до новой работы плотно писал на фастапи. Прошел собес и попал на проект с Джанго, с переходом на другие проекты с фастапи в будущем.
Возвращаясь к задаче, как написать ручку мне удалось нагуглить и понять за 5 минут, и это был лишь 1% работы, потому что основной задачей было выгрузить данные из хранилища, которые я даже не знаю какие по структуре и что там хранится. Для этого нужно понять какой код для этого написан, какие есть доки к конфлюенсе и жире по этому, чекнуть, какие есть тесты на это и есть ли готовая структура в коде, чтобы ее вернуть. Ну и накидать изменения на фронтенде, чтобы данные с новой ручки подтягивались и отображались.
И так было на всех моих работах. Большая часть кодовой базы это будет не синтаксис фреймворка, и мое мнение нет смысла тратить время на изучение деталей, которые меняются в разных версиях. Важно понять концепции, терминологию и как все это работает. В реальном проекте остальная часть кода это будут кастомные интеграции и самописные решения, ради которых собственно и нанимают разработчиков, потому что на рынке нет готовых решений для этих задач.
Умение разбираться в новом, это главный навык, а не Джанго. Или фастапи. Или любая другая технология."
2025-06-17 20:08:13+00:00,"PyCharm vs VSCode (еще раз)
По поводу что выбрать, и я не претендую на истину, но если вы обучаетесь, юзайте то, что нравится. На маленьких проектах без разницы, там нет тех задач, для которых будет играть решающую роль что то из арсенала платного ПО.
Есть еще два вопроса, которые идут рядом с вопросом о том, что выбрать.
А зачем платить за пайчарм, если вскод бесплатный? Если базовая зарплата джуна 1000$, а пайчарм стоит 6,5$, что дешевле большинства других подписок, но при этом экономит время. Неужели экономия в деньгах будет больше?
Еще момент, что обычно эту сумму компенсирует компания или в целом выдает лицензию. Одно из двух было во всех компаниях где я работал.
Другой момент, если вы верите в то, что за ПО не надо платить, то где вы хотите работать и писать код за деньги, если код должен быть бесплатным?
😂
А чем пайчарм так превосходит вскод? Это второй вопрос, который идет рядом. Без обид, но такой вопрос не приходит от разработчиков с реальным опытом. Потому что пайчарм из коробки дает:
- скачивание драйверов для любой базы данных из коробки и интерфейс подключения к ним.
- интерфейсы для podman и docker, тоже из коробки. И на самом деле мне это даже не главное, за что мне нравится пайчарм.
- интерфейс для работы с гитом и историей, те кто понимают, те понимают.
- Инструменты рефакторинга, такие как автоматические переносы связанного кода.
- Поиск, которой позволяет найти не только по тексту, но и по связи объекта на основе анализа его использования.
- автоматические импорты
- И самое главное, это интерфейсы для дебагинга и тестирования, продуманность которых можно понять только в сравнении. Я уже не говорю про штуки вроде древа наследования классов и автоматический проброс портов.
И это не вопрос выбора, не обязательно выбирать один, никто не запрещает использовать оба, в зависимости от того, в чем каждый из них лучше на ваш взгляд. Так же как не обязательно выбирать между iOS, Linux, и Windows, можно взять две из них, или все три, и переключаться между ними в зависимости от задачи.
В общем, в качестве вывода, моя позиция такова, что нужно быть профессионалом, а не фанатом, и забивать гвозди молотком, а не любимым микроскопом"
2025-06-17 08:46:28+00:00,"PyCharm vs VsCode
На работе мой коллега пишет код в вскод. Чтобы быстрее влиться в проект я решил использовать его конфиг и вот что из этого вышло. Так как у меня оплачен копилот, он начал подсвечивать мне подсказки, и в совокупе с быстрым откликом редактора, это был приятный опыт. В сравнении с пайчармом, у вскода интеграция на уровне курсора (так как копилоту завезли агентский режим), у пайчарма же нет ни агентского режима, ни автоматического редактирования связанных участков кода (это когда он по кнопке прыгает сам в другое место где тоже надо поменять и меняет).
В общем, пайчарм все еще хорош для рефакторинга и как набор тулов из коробки, но то что связанно с ии, интегрировано на порядок хуже. На выходных попробую повайбкодить в вскод. Есть желание записывать всякого рода сравнения, но нет желания потом монтировать (из-за этого мой ютуб был заброшен почти год)
Подписка на курсор стоит 20$, а копилот 10$. Раньше когда из моделей были только openai-шные и агентского режима не было, разница была заметна, теперь хотелось бы понять, стоит ли переплачивать или конкуренция повышает доступность технологии.
Кстати, вопрос, у меня последнее время скапливаются лайфхаки, вроде как платить за линкедин премиум вместо 10$ в месяц только 14$ в год и как получить подписку на копилот за 7,5$ вместо 10$ в месяц, но я не знаю в каком формате и годе этим делиться, и надо ли. Скажите, что думаете"
2025-06-16 18:55:29+00:00,"День 8 на новой работе
Разбирался с багом дебаггера. Подозрение было на Django RQ, который запускает отдельный тред, библиотеку Redis, которая делает тоже самое, и миддлвары, но они быстро вышли из подозрения простым исключением. Воспользовался корпоративным Gemini, чтобы ускорить решение. Потому что собственные попытки найти, что не так с тредами не удались. Несколько дип ресерчей ушло в молоко, потому что он своими рассуждениями находил ошибки, которых не было в изначальном запросе, и пытался их решить. Пробовал с обеими моделями 2.5 и 2,5 Pro. В итоге в одном из простых ответов был вариант с багом в библиотеке pytest-timeouts, и это было бинго. Обновление с 2.3.1 до 2.4.0 решило проблему.
В итоге, продебажил с помощью дебаггера тест, который нужно было по задаче, и отправил таску в тестирование. Предыдущую задачу, уже протестили , и она была вмержена в основную ветку. Пока это рекорд, по скорости адаптации и вливания в работу.
Из нерабочего: замонтировал 5 видео для своего курса по питону, которые снимал на выходных и выложил на ютуб и степик. Степик меня не радует если честно, не думаю что хочу на нем развивать все это дело, но альтернатив пока не вижу
Из интересного: вышел новый курс
https://django.run
от автора ютуб канала Senior Pomidor, если кто уже прошел поделитесь впечатлениями"
2025-06-16 17:14:28+00:00,"Что для меня показатель уровня инженерной культуры?
Можно начать с самого банального что есть код-ревью, пишутся тесты (как на беке, так и е2е для фронтенда) и свои QA в команде.
По задачам есть простой и понятный флоу (он похож на близкий к идеальному, который я описывал
тут)
Хорошее версионирование. Из-за того что это геймдев и основной продукт онлайн игра, то выкат новых версий с новыми фичами и событиями четко определен. Поэтому можно раскатывать некоторые части приложения как в прошлое, так и на два месяца в будущее. Для управления окружениями был написан свой сервис, где из админки видно статус всех стендов и можно развернуть нужную версию, получить логи и прочее. Т.е в этом примере уровень инженерной культуры для меня, что был написал специальный сервис, чтобы автоматизировать это и он сам по себе является показателем экспертизы команды.
Высокий уровень автоматизации, и в других вещах как CI/CD, т.е между кодом в ветке и на сервере - одна кнопка.
Кроме этого есть еще внутреннее хранилище библиотек, которые используются для совместимого интерфейса между приложениями. Часть из них автогенерируемые и создаются под разные языки программирования (python, go, js), чтобы доступ к функционалу был из любого языка к интерфейсам игры, все это покрыто тестами и подсветит, если интерфейс в связанных сервисах устареет.
Часть библиотек убирают дублирование кода, они вынесены во внутренний registry и добавляются в проект как зависимости. Это как по мне тоже очень классный подход.
Ну и последнее наверное это высокая скорость доставки, как результат всех инструментов и подходов
А что для вас показатель уровня инженерной культуры?"
2025-06-13 18:09:59+00:00,"День 7 на новой работе
Сегодня был созвон на 1+ час с тимлидом, потому что у меня были вопросы по ревью. Я был не согласен с замечаниями, и мне надо было понять как это работает в команде и какие у меня есть границы в принятии решений. Еще были вопросы по подходу к тестированию. Получился очень интересный диалог, я бы хотел задержаться в этой компании, потому что уровень инженерной культуры и организации проектов прям очень высокий. Нраица. Еще радует, что в команде все общаются без мата, люблю такое.
Из питонячьих штук, у меня отвалился дебаггер на проекте с Джанго и методом исключения я понял что это не в редакторе (проблема проявляется и в вскод), и проблема не с ОС, потому что другой проект на Джанго работает как задумано. Это что то специфичное для окружения проекта или параметров. Похоже на то, что при попытке вызова чего либо в треде дебаггера все треды падают с ошибкой (находил похожее описание на стак оверфлоу, но без решения).
Из активностей, стримы вести так и не получается, я слишком отвлекаюсь на чат и общение,а хотелось бы работать. Скорее всего буду это вводить на регулярной основе в формате трансляций на заданную тему. Кстати, скоро выпущу первую версию бесплатного курса по питону. На выходных постараюсь все замонтировать. На самом деле по базовому питону инфы достаточно, но для более сложных вещей нужно быть уверенным, что база для этого у слушателя есть.
По поводу работы и переката в айти и поиска работы моя позиция такая: Если за год не удалось, значит что то делаете не так. Я не консультирую по карьере, но просто рекомендую не воспринимать заголовки «ты не найдешь работу в айти в 2025 году» от блоггеров на веру. Хорошие спецы всегда нужны, не важно это разработчики или сантехники
Спасибо всем, кто читает и комментирует, и не стесняйтесь писать, если хотите узнать что-то подробнее, рад буду поделиться"
2025-06-12 20:39:16+00:00,"Напишите в комментах, почему читаете этот канал, а то я забыл зачем я его веду"
2025-06-11 21:09:25+00:00,"День 5 на новой работе
Сегодня часть рабочего дня потратил на пайчарм. Оказалось, что питоновский дебагер вылетает, и такого раньше не было. Причину я пока не нашел, но кейс странный. Около 3 часов дня потратил на это, и пришлось засидеться вечером, потому что работа не работалась пока я искал причину. Из плюсов, доделал еще одну таску, завтра отправлю в тестирование. По вчерашней таске пришел фидбек, надо там кое что поправить, тоже остается на завтра.
Был еще созвон про сторипоинты, в которых нужно будет оценивать задачу, и здесь наверное будет шутка про 8+8=13
На самом деле куча всего интересного о чем хочется рассказать, но я не могу об этом рассказывать, просто знайте это
😅"
